City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,khovd,48.0056,91.6419,-5.19,97,100,0.82,MN,1699734527
334,tofol,5.3248,163.0078,25.88,94,100,1.03,FM,1699734527
335,puerto morazan,12.8504,-87.1717,32.43,59,51,1.92,NI,1699734528
336,kerikeri,-35.2268,173.9474,15.3,60,5,1.5,NZ,1699734529
337,dolores,-36.3132,-57.6792,27.71,33,0,5.69,AR,1699734530
338,okha,53.5739,142.9478,-5.82,85,100,7.63,RU,1699734530
339,ivdel',60.6911,60.4206,2.33,91,100,1.34,RU,1699734532
340,kodinsk,58.6881,99.1844,-14.2,97,14,1.16,RU,1699734532
341,tralee,52.2704,-9.7026,7.86,90,100,7.33,IE,1699734533
342,konarka,19.9,86.1167,21.22,70,7,2.07,IN,1699734534
343,enewetak,11.3474,162.3373,28.22,76,79,7.1,MH,1699734311
344,fort bragg,35.139,-79.006,12.12,86,100,2.06,US,1699734535
345,chonchi,-42.6128,-73.8092,8.4,93,96,4.78,CL,1699734536
346,newman,37.3138,-121.0208,20.69,42,100,0.45,US,1699734448
347,mil'kovo,55.6078,37.7956,4.67,86,100,4.16,RU,1699734537
348,puerto leguizamo,-0.1934,-74.7819,27.68,90,89,1.09,CO,1699734274
349,rawah,34.4816,41.9093,21.32,36,100,3.41,IQ,1699734539
350,itoman,26.1247,127.6694,20.22,94,100,7.2,JP,1699734540
351,afaahiti,-17.75,-149.2833,29.93,81,87,6.45,PF,1699734359
352,taoudenni,22.6783,-3.9836,27.94,11,1,2.61,ML,1699734292
353,savelugu,9.6244,-0.8253,32.34,36,96,0.45,GH,1699734542
354,bir el ater,34.7449,8.0602,13.25,46,18,2.11,DZ,1699734543
355,bliss corner,41.6118,-70.9384,12.13,49,0,3.09,US,1699734544
356,antonina,-25.4286,-48.7119,38.82,76,97,0.78,BR,1699734545
357,boende,-0.2167,20.8667,22.26,99,100,1.62,CD,1699734546
358,visakhapatnam,17.69,83.2093,23.78,74,10,1.99,IN,1699734547
359,gizo,-8.103,156.8419,27.52,73,100,7.71,SB,1699734548
360,kasempa,-13.4584,25.8338,23.74,52,100,1.44,ZM,1699734548
361,rawson,-43.3002,-65.1023,19.16,45,95,7.2,AR,1699734347
